Oil Grade,"Temperature
Deg C","Viscosity
(Ns/m2)","Heat capacity
(kJ/kg*0c)","Conductivity
(W/m2*0c)","Density
(kg/m2)"
ISO VG 680,65,0.1381,1.998,0.124,881.2
ISO VG 680,66,0.1314,2.001,0.1239,880.6
ISO VG 680,67,0.1251,2.005,0.1239,880
ISO VG 680,68,0.1192,2.008,0.1238,879.4
ISO VG 680,69,0.1136,2.012,0.1237,878.8
ISO VG 680,70,0.1084,2.015,0.1237,878.2
ISO VG 680,71,0.1034,2.019,0.1236,877.6
ISO VG 680,72,0.09879,2.023,0.1235,877
ISO VG 680,73,0.09439,2.026,0.1234,876.4
ISO VG 680,74,0.09024,2.03,0.1234,875.8
ISO VG 680,75,0.08632,2.033,0.1233,875.2
ISO VG 680,76,0.08261,2.037,0.1232,874.7
ISO VG 680,77,0.0791,2.04,0.1232,874.1
ISO VG 680,78,0.07578,2.044,0.1231,873.5
ISO VG 680,79,0.07263,2.047,0.123,872.9
ISO VG 680,80,0.06965,2.051,0.123,872.3
ISO VG 680,81,0.06682,2.054,0.1229,871.7
ISO VG 680,82,0.06413,2.058,0.1228,871.1
ISO VG 680,83,0.06159,2.062,0.1227,870.6
ISO VG 680,84,0.05916,2.065,0.1227,870
ISO VG 680,85,0.05686,2.069,0.1226,869.4
ISO VG 680,86,0.05468,2.072,0.1225,868.8
ISO VG 680,87,0.05259,2.076,0.1225,868.2
ISO VG 680,88,0.05061,2.079,0.1224,867.7
ISO VG 680,89,0.04873,2.083,0.1223,867.1
ISO VG 680,90,0.04693,2.086,0.1223,866.5
ISO VG 680,91,0.04522,2.09,0.1222,865.9
ISO VG 680,92,0.04358,2.094,0.1221,865.4
ISO VG 680,93,0.04201,2.097,0.1221,864.8
ISO VG 680,94,0.04053,2.101,0.122,864.2
ISO VG 680,95,0.0391,2.104,0.1219,863.6
ISO VG 680,96,0.03775,2.108,0.1218,863.1
ISO VG 680,97,0.03645,2.111,0.1218,862.5
ISO VG 680,98,0.0352,2.115,0.1217,861.9
ISO VG 680,99,0.03402,2.118,0.1216,861.4
ISO VG 680,100,0.03288,2.122,0.1216,860.8
ISO VG 680,101,0.03179,2.126,0.1215,860.2
ISO VG 680,102,0.03074,2.129,0.1214,859.6
ISO VG 680,103,0.02974,2.133,0.1214,859.1
ISO VG 680,104,0.02879,2.136,0.1213,858.5
ISO VG 680,105,0.02787,2.14,0.1212,857.9
ISO VG 680,106,0.02698,2.143,0.1212,857.4
ISO VG 680,107,0.02614,2.147,0.1211,856.8
ISO VG 680,108,0.02532,2.15,0.121,856.3
ISO VG 680,109,0.02455,2.154,0.1209,855.7
ISO VG 680,110,0.0238,2.157,0.1209,855.1
ISO VG 680,111,0.02308,2.161,0.1208,854.6
ISO VG 680,112,0.02238,2.165,0.1207,854
ISO VG 680,113,0.02172,2.168,0.1207,853.5
ISO VG 680,114,0.02108,2.172,0.1206,852.9
ISO VG 680,115,0.02046,2.175,0.1205,852.3
ISO VG 680,116,0.01987,2.179,0.1205,851.8
ISO VG 680,117,0.0193,2.182,0.1204,851.2
ISO VG 680,118,0.01875,2.186,0.1203,850.7
ISO VG 680,119,0.01822,2.189,0.1203,850.1
ISO VG 680,120,0.01771,2.193,0.1202,849.6
ISO VG 680,121,0.01722,2.197,0.1201,849
ISO VG 680,122,0.01675,2.2,0.12,848.5
ISO VG 680,123,0.01629,2.204,0.12,847.9
ISO VG 680,124,0.01586,2.207,0.1199,847.3
ISO VG 680,125,0.01543,2.211,0.1198,846.8
ISO VG 680,126,0.01502,2.214,0.1198,846.2
ISO VG 680,127,0.01463,2.218,0.1197,845.7
ISO VG 680,128,0.01425,2.221,0.1196,845.1
ISO VG 680,129,0.01388,2.225,0.1196,844.6
ISO VG 680,130,0.01353,2.228,0.1195,844.1
ISO VG 680,131,0.01319,2.232,0.1194,843.5
ISO VG 680,132,0.01286,2.236,0.1193,843
ISO VG 680,133,0.01254,2.239,0.1193,842.4
ISO VG 680,134,0.01223,2.243,0.1192,841.9
ISO VG 680,135,0.01193,2.246,0.1191,841.3
ISO VG 680,136,0.01164,2.25,0.1191,840.8
ISO VG 680,137,0.01137,2.253,0.119,840.2
ISO VG 680,138,0.0111,2.257,0.1189,839.7
ISO VG 680,139,0.01084,2.26,0.1189,839.2
ISO VG 680,140,0.01059,2.264,0.1188,838.6
ISO VG 680,141,0.01035,2.268,0.1187,838.1
ISO VG 680,142,0.01011,2.271,0.1187,837.5
ISO VG 680,143,0.009888,2.275,0.1186,837
ISO VG 680,144,0.00967,2.278,0.1185,836.5
ISO VG 680,145,0.00946,2.282,0.1184,835.9
ISO VG 680,146,0.009256,2.285,0.1184,835.4
ISO VG 680,147,0.009059,2.289,0.1183,834.9
ISO VG 680,148,0.008869,2.292,0.1182,834.3
ISO VG 680,149,0.008686,2.296,0.1182,833.8
ISO VG 680,150,0.008508,2.3,0.1181,833.3
SAE 10,-10,1.164,1.758,0.1331,900.8
SAE 10,-9,1.052,1.761,0.1331,900.1
SAE 10,-8,0.9528,1.765,0.133,899.5
SAE 10,-7,0.8645,1.768,0.1329,898.9
SAE 10,-6,0.7858,1.772,0.1329,898.2
SAE 10,-5,0.7154,1.776,0.1328,897.6
SAE 10,-4,0.6524,1.779,0.1327,897
SAE 10,-3,0.5959,1.783,0.1326,896.3
SAE 10,-2,0.5452,1.786,0.1326,895.7
SAE 10,-1,0.4995,1.79,0.1325,895.1
SAE 10,0,0.4584,1.794,0.1324,894.4
SAE 10,1,0.4213,1.797,0.1324,893.8
SAE 10,2,0.3878,1.801,0.1323,893.2
SAE 10,3,0.3574,1.804,0.1322,892.5
SAE 10,4,0.3298,1.808,0.1321,891.9
SAE 10,5,0.3048,1.812,0.1321,891.3
SAE 10,6,0.2821,1.815,0.132,890.7
SAE 10,7,0.2614,1.819,0.1319,890
SAE 10,8,0.2426,1.822,0.1319,889.4
SAE 10,9,0.2253,1.826,0.1318,888.8
SAE 10,10,0.2096,1.83,0.1317,888.2
SAE 10,11,0.1952,1.833,0.1316,887.5
SAE 10,12,0.182,1.837,0.1316,886.9
SAE 10,13,0.1699,1.84,0.1315,886.3
SAE 10,14,0.1587,1.844,0.1314,885.7
SAE 10,15,0.1485,1.848,0.1314,885.1
SAE 10,16,0.1391,1.851,0.1313,884.4
SAE 10,17,0.1304,1.855,0.1312,883.8
SAE 10,18,0.1223,1.858,0.1311,883.2
SAE 10,19,0.1149,1.862,0.1311,882.6
SAE 10,20,0.1081,1.866,0.131,882
SAE 10,21,0.1017,1.869,0.1309,881.4
SAE 10,22,0.09584,1.873,0.1309,880.7
SAE 10,23,0.09039,1.876,0.1308,880.1
SAE 10,24,0.08532,1.88,0.1307,879.5
SAE 10,25,0.0806,1.884,0.1306,878.9
SAE 10,26,0.07622,1.887,0.1306,878.3
SAE 10,27,0.07213,1.891,0.1305,877.7
SAE 10,28,0.06832,1.895,0.1304,877.1
SAE 10,29,0.06477,1.898,0.1304,876.5
SAE 10,30,0.06145,1.902,0.1303,875.9
SAE 10,31,0.05834,1.905,0.1302,875.3
SAE 10,32,0.05544,1.909,0.1301,874.7
SAE 10,33,0.05272,1.913,0.1301,874
SAE 10,34,0.05018,1.916,0.13,873.4
SAE 10,35,0.04779,1.92,0.1299,872.8
SAE 10,36,0.04554,1.923,0.1299,872.2
SAE 10,37,0.04344,1.927,0.1298,871.6
SAE 10,38,0.04145,1.931,0.1297,871
SAE 10,39,0.03959,1.934,0.1296,870.4
SAE 10,40,0.03784,1.938,0.1296,869.8
SAE 10,41,0.03618,1.941,0.1295,869.2
SAE 10,42,0.03462,1.945,0.1294,868.6
SAE 10,43,0.03315,1.949,0.1294,868
SAE 10,44,0.03176,1.952,0.1293,867.4
SAE 10,45,0.03045,1.956,0.1292,866.8
SAE 10,46,0.02921,1.959,0.1291,866.3
SAE 10,47,0.02804,1.963,0.1291,865.7
SAE 10,48,0.02692,1.967,0.129,865.1
SAE 10,49,0.02587,1.97,0.1289,864.5
SAE 10,50,0.02487,1.974,0.1289,863.9
SAE 10,51,0.02392,1.977,0.1288,863.3
SAE 10,52,0.02303,1.981,0.1287,862.7
SAE 10,53,0.02217,1.985,0.1286,862.1
SAE 10,54,0.02136,1.988,0.1286,861.5
SAE 10,55,0.02059,1.992,0.1285,860.9
SAE 10,56,0.01986,1.995,0.1284,860.3
SAE 10,57,0.01916,1.999,0.1284,859.8
SAE 10,58,0.01849,2.003,0.1283,859.2
SAE 10,59,0.01786,2.006,0.1282,858.6
SAE 10,60,0.01726,2.01,0.1281,858
SAE 10,61,0.01668,2.013,0.1281,857.4
SAE 10,62,0.01613,2.017,0.128,856.8
SAE 10,63,0.0156,2.021,0.1279,856.3
SAE 10,64,0.0151,2.024,0.1279,855.7
SAE 10,65,0.01462,2.028,0.1278,855.1
SAE 10,66,0.01417,2.032,0.1277,854.5
SAE 10,67,0.01373,2.035,0.1276,853.9
SAE 10,68,0.01331,2.039,0.1276,853.4
SAE 10,69,0.0129,2.042,0.1275,852.8
SAE 10,70,0.01252,2.046,0.1274,852.2
SAE 10,71,0.01215,2.05,0.1274,851.6
SAE 10,72,0.0118,2.053,0.1273,851
SAE 10,73,0.01146,2.057,0.1272,850.5
SAE 10,74,0.01113,2.06,0.1271,849.9
SAE 10,75,0.01082,2.064,0.1271,849.3
SAE 10,76,0.01052,2.068,0.127,848.8
SAE 10,77,0.01023,2.071,0.1269,848.2
SAE 10,78,0.009953,2.075,0.1269,847.6
SAE 10,79,0.009686,2.078,0.1268,847
SAE 10,80,0.009429,2.082,0.1267,846.5
SAE 10,81,0.009182,2.086,0.1266,845.9
SAE 10,82,0.008945,2.089,0.1266,845.3
SAE 10,83,0.008716,2.093,0.1265,844.8
SAE 10,84,0.008495,2.096,0.1264,844.2
SAE 10,85,0.008283,2.1,0.1264,843.6
SAE 10,86,0.008078,2.104,0.1263,843.1
SAE 10,87,0.00788,2.107,0.1262,842.5
SAE 10,88,0.007689,2.111,0.1261,841.9
SAE 10,89,0.007505,2.114,0.1261,841.4
SAE 10,90,0.007328,2.118,0.126,840.8
SAE 10,91,0.007156,2.122,0.1259,840.3
SAE 10,92,0.006991,2.125,0.1259,839.7
SAE 10,93,0.006831,2.129,0.1258,839.1
SAE 10,94,0.006676,2.132,0.1257,838.6
SAE 10,95,0.006526,2.136,0.1256,838
SAE 10,96,0.006382,2.14,0.1256,837.5
SAE 10,97,0.006242,2.143,0.1255,836.9
SAE 10,98,0.006106,2.147,0.1254,836.4
SAE 10,99,0.005975,2.15,0.1253,835.8
SAE 10,100,0.005848,2.154,0.1253,835.3
SAE 10,101,0.005725,2.158,0.1252,834.7
SAE 10,102,0.005606,2.161,0.1251,834.2
SAE 10,103,0.00549,2.165,0.1251,833.6
SAE 10,104,0.005378,2.168,0.125,833
SAE 10,105,0.00527,2.172,0.1249,832.5
SAE 10,106,0.005164,2.176,0.1248,832
SAE 10,107,0.005062,2.179,0.1248,831.4
SAE 10,108,0.004963,2.183,0.1247,830.9
SAE 10,109,0.004867,2.187,0.1246,830.3
SAE 10,110,0.004774,2.19,0.1246,829.8
SAE 10,111,0.004683,2.194,0.1245,829.2
SAE 10,112,0.004595,2.197,0.1244,828.7
SAE 10,113,0.004509,2.201,0.1243,828.1
SAE 10,114,0.004426,2.205,0.1243,827.6
SAE 10,115,0.004345,2.208,0.1242,827
SAE 10,116,0.004267,2.212,0.1241,826.5
SAE 10,117,0.00419,2.215,0.1241,826
SAE 10,118,0.004116,2.219,0.124,825.4
SAE 10,119,0.004043,2.223,0.1239,824.9
SAE 10,120,0.003973,2.226,0.1238,824.3
SAE 10,121,0.003904,2.23,0.1238,823.8
SAE 10,122,0.003838,2.233,0.1237,823.3
SAE 10,123,0.003773,2.237,0.1236,822.7
SAE 10,124,0.00371,2.241,0.1236,822.2
SAE 10,125,0.003648,2.244,0.1235,821.7
SAE 10,126,0.003588,2.248,0.1234,821.1
SAE 10,127,0.003529,2.251,0.1233,820.6
SAE 10,128,0.003472,2.255,0.1233,820.1
SAE 10,129,0.003417,2.259,0.1232,819.5
SAE 10,130,0.003363,2.262,0.1231,819
SAE 10,131,0.00331,2.266,0.1231,818.5
SAE 10,132,0.003258,2.269,0.123,817.9
SAE 10,133,0.003208,2.273,0.1229,817.4
SAE 10,134,0.003159,2.277,0.1228,816.9
SAE 10,135,0.003111,2.28,0.1228,816.4
SAE 10,136,0.003064,2.284,0.1227,815.8
SAE 10,137,0.003018,2.287,0.1226,815.3
SAE 10,138,0.002974,2.291,0.1226,814.8
SAE 10,139,0.00293,2.295,0.1225,814.3
SAE 10,140,0.002888,2.298,0.1224,813.7
SAE 10,141,0.002846,2.302,0.1223,813.2
SAE 10,142,0.002805,2.305,0.1223,812.7
SAE 10,143,0.002766,2.309,0.1222,812.2
SAE 10,144,0.002727,2.313,0.1221,811.7
SAE 10,145,0.002689,2.316,0.1221,811.1
SAE 10,146,0.002652,2.32,0.122,810.6
SAE 10,147,0.002616,2.324,0.1219,810.1
SAE 10,148,0.00258,2.327,0.1218,809.6
SAE 10,149,0.002546,2.331,0.1218,809.1
SAE 10,150,0.002512,2.334,0.1217,808.6
SAE 20,-10,2.942,1.753,0.1324,905.9
SAE 20,-9,2.621,1.756,0.1323,905.2
SAE 20,-8,2.34,1.76,0.1323,904.6
SAE 20,-7,2.094,1.763,0.1322,903.9
SAE 20,-6,1.877,1.767,0.1321,903.3
SAE 20,-5,1.686,1.771,0.132,902.7
SAE 20,-4,1.517,1.774,0.132,902
SAE 20,-3,1.368,1.778,0.1319,901.4
SAE 20,-2,1.236,1.781,0.1318,900.7
SAE 20,-1,1.118,1.785,0.1318,900.1
SAE 20,0,1.014,1.789,0.1317,899.5
SAE 20,1,0.9204,1.792,0.1316,898.8
SAE 20,2,0.8372,1.796,0.1315,898.2
SAE 20,3,0.7627,1.799,0.1315,897.6
SAE 20,4,0.696,1.803,0.1314,896.9
SAE 20,5,0.6361,1.807,0.1313,896.3
SAE 20,6,0.5823,1.81,0.1313,895.7
SAE 20,7,0.5339,1.814,0.1312,895.1
SAE 20,8,0.4902,1.817,0.1311,894.4
SAE 20,9,0.4507,1.821,0.131,893.8
SAE 20,10,0.415,1.824,0.131,893.2
SAE 20,11,0.3826,1.828,0.1309,892.6
SAE 20,12,0.3533,1.832,0.1308,891.9
SAE 20,13,0.3266,1.835,0.1308,891.3
SAE 20,14,0.3024,1.839,0.1307,890.7
SAE 20,15,0.2803,1.842,0.1306,890.1
SAE 20,16,0.2601,1.846,0.1305,889.4
SAE 20,17,0.2417,1.85,0.1305,888.8
SAE 20,18,0.2248,1.853,0.1304,888.2
SAE 20,19,0.2094,1.857,0.1303,887.6
SAE 20,20,0.1953,1.86,0.1303,887
SAE 20,21,0.1823,1.864,0.1302,886.3
SAE 20,22,0.1704,1.868,0.1301,885.7
SAE 20,23,0.1594,1.871,0.13,885.1
SAE 20,24,0.1493,1.875,0.13,884.5
SAE 20,25,0.14,1.878,0.1299,883.9
SAE 20,26,0.1314,1.882,0.1298,883.3
SAE 20,27,0.1234,1.886,0.1298,882.6
SAE 20,28,0.116,1.889,0.1297,882
SAE 20,29,0.1092,1.893,0.1296,881.4
SAE 20,30,0.1029,1.896,0.1296,880.8
SAE 20,31,0.09704,1.9,0.1295,880.2
SAE 20,32,0.0916,1.904,0.1294,879.6
SAE 20,33,0.08653,1.907,0.1293,879
SAE 20,34,0.08181,1.911,0.1293,878.4
SAE 20,35,0.07742,1.914,0.1292,877.8
SAE 20,36,0.07333,1.918,0.1291,877.2
SAE 20,37,0.06951,1.922,0.1291,876.6
SAE 20,38,0.06594,1.925,0.129,876
SAE 20,39,0.0626,1.929,0.1289,875.4
SAE 20,40,0.05947,1.932,0.1288,874.7
SAE 20,41,0.05655,1.936,0.1288,874.1
SAE 20,42,0.05381,1.94,0.1287,873.5
SAE 20,43,0.05124,1.943,0.1286,872.9
SAE 20,44,0.04883,1.947,0.1286,872.3
SAE 20,45,0.04656,1.95,0.1285,871.7
SAE 20,46,0.04443,1.954,0.1284,871.1
SAE 20,47,0.04242,1.957,0.1283,870.5
SAE 20,48,0.04053,1.961,0.1283,869.9
SAE 20,49,0.03875,1.965,0.1282,869.4
SAE 20,50,0.03708,1.968,0.1281,868.8
SAE 20,51,0.03549,1.972,0.1281,868.2
SAE 20,52,0.034,1.975,0.128,867.6
SAE 20,53,0.03259,1.979,0.1279,867
SAE 20,54,0.03125,1.983,0.1278,866.4
SAE 20,55,0.02999,1.986,0.1278,865.8
SAE 20,56,0.02879,1.99,0.1277,865.2
SAE 20,57,0.02766,1.993,0.1276,864.6
SAE 20,58,0.02659,1.997,0.1276,864
SAE 20,59,0.02557,2.001,0.1275,863.4
SAE 20,60,0.0246,2.004,0.1274,862.8
SAE 20,61,0.02368,2.008,0.1273,862.3
SAE 20,62,0.02281,2.011,0.1273,861.7
SAE 20,63,0.02198,2.015,0.1272,861.1
SAE 20,64,0.0212,2.019,0.1271,860.5
SAE 20,65,0.02045,2.022,0.1271,859.9
SAE 20,66,0.01973,2.026,0.127,859.3
SAE 20,67,0.01905,2.029,0.1269,858.8
SAE 20,68,0.0184,2.033,0.1268,858.2
SAE 20,69,0.01778,2.037,0.1268,857.6
SAE 20,70,0.01719,2.04,0.1267,857
SAE 20,71,0.01663,2.044,0.1266,856.4
SAE 20,72,0.01609,2.047,0.1266,855.9
SAE 20,73,0.01557,2.051,0.1265,855.3
SAE 20,74,0.01508,2.055,0.1264,854.7
SAE 20,75,0.01461,2.058,0.1264,854.1
SAE 20,76,0.01416,2.062,0.1263,853.5
SAE 20,77,0.01373,2.065,0.1262,853
SAE 20,78,0.01332,2.069,0.1261,852.4
SAE 20,79,0.01292,2.073,0.1261,851.8
SAE 20,80,0.01254,2.076,0.126,851.3
SAE 20,81,0.01218,2.08,0.1259,850.7
SAE 20,82,0.01183,2.083,0.1259,850.1
SAE 20,83,0.01149,2.087,0.1258,849.5
SAE 20,84,0.01117,2.091,0.1257,849
SAE 20,85,0.01086,2.094,0.1256,848.4
SAE 20,86,0.01056,2.098,0.1256,847.8
SAE 20,87,0.01028,2.101,0.1255,847.3
SAE 20,88,0.01,2.105,0.1254,846.7
SAE 20,89,0.009739,2.108,0.1254,846.1
SAE 20,90,0.009484,2.112,0.1253,845.6
SAE 20,91,0.009239,2.116,0.1252,845
SAE 20,92,0.009003,2.119,0.1251,844.4
SAE 20,93,0.008775,2.123,0.1251,843.9
SAE 20,94,0.008556,2.126,0.125,843.3
SAE 20,95,0.008345,2.13,0.1249,842.8
SAE 20,96,0.008141,2.134,0.1249,842.2
SAE 20,97,0.007944,2.137,0.1248,841.6
SAE 20,98,0.007754,2.141,0.1247,841.1
SAE 20,99,0.007571,2.144,0.1246,840.5
SAE 20,100,0.007394,2.148,0.1246,840
SAE 20,101,0.007223,2.152,0.1245,839.4
SAE 20,102,0.007057,2.155,0.1244,838.9
SAE 20,103,0.006898,2.159,0.1244,838.3
SAE 20,104,0.006743,2.162,0.1243,837.8
SAE 20,105,0.006593,2.166,0.1242,837.2
SAE 20,106,0.006449,2.17,0.1241,836.7
SAE 20,107,0.006309,2.173,0.1241,836.1
SAE 20,108,0.006173,2.177,0.124,835.5
SAE 20,109,0.006042,2.18,0.1239,835
SAE 20,110,0.005915,2.184,0.1239,834.5
SAE 20,111,0.005792,2.188,0.1238,833.9
SAE 20,112,0.005672,2.191,0.1237,833.4
SAE 20,113,0.005556,2.195,0.1236,832.8
SAE 20,114,0.005444,2.198,0.1236,832.3
SAE 20,115,0.005335,2.202,0.1235,831.7
SAE 20,116,0.00523,2.206,0.1234,831.2
SAE 20,117,0.005127,2.209,0.1234,830.6
SAE 20,118,0.005028,2.213,0.1233,830.1
SAE 20,119,0.004931,2.216,0.1232,829.5
SAE 20,120,0.004837,2.22,0.1232,829
SAE 20,121,0.004746,2.224,0.1231,828.5
SAE 20,122,0.004657,2.227,0.123,827.9
SAE 20,123,0.004571,2.231,0.1229,827.4
SAE 20,124,0.004488,2.234,0.1229,826.8
SAE 20,125,0.004406,2.238,0.1228,826.3
SAE 20,126,0.004327,2.241,0.1227,825.8
SAE 20,127,0.00425,2.245,0.1227,825.2
SAE 20,128,0.004175,2.249,0.1226,824.7
SAE 20,129,0.004102,2.252,0.1225,824.2
SAE 20,130,0.004031,2.256,0.1224,823.6
SAE 20,131,0.003962,2.259,0.1224,823.1
SAE 20,132,0.003895,2.263,0.1223,822.6
SAE 20,133,0.00383,2.267,0.1222,822
SAE 20,134,0.003766,2.27,0.1222,821.5
SAE 20,135,0.003704,2.274,0.1221,821
SAE 20,136,0.003643,2.277,0.122,820.4
SAE 20,137,0.003584,2.281,0.1219,819.9
SAE 20,138,0.003526,2.285,0.1219,819.4
SAE 20,139,0.00347,2.288,0.1218,818.9
SAE 20,140,0.003415,2.292,0.1217,818.3
SAE 20,141,0.003362,2.295,0.1217,817.8
SAE 20,142,0.00331,2.299,0.1216,817.3
SAE 20,143,0.003259,2.303,0.1215,816.8
SAE 20,144,0.003209,2.306,0.1214,816.2
SAE 20,145,0.003161,2.31,0.1214,815.7
SAE 20,146,0.003114,2.313,0.1213,815.2
SAE 20,147,0.003068,2.317,0.1212,814.7
SAE 20,148,0.003022,2.321,0.1212,814.2
SAE 20,149,0.002978,2.324,0.1211,813.6
SAE 20,150,0.002935,2.328,0.121,813.1
SAE 30,-10,3.782,1.753,0.1324,905.9
SAE 30,-9,3.376,1.756,0.1323,905.2
SAE 30,-8,3.02,1.76,0.1323,904.6
SAE 30,-7,2.706,1.763,0.1322,903.9
SAE 30,-6,2.43,1.767,0.1321,903.3
SAE 30,-5,2.186,1.771,0.132,902.7
SAE 30,-4,1.97,1.774,0.132,902
SAE 30,-3,1.778,1.778,0.1319,901.4
SAE 30,-2,1.608,1.781,0.1318,900.7
SAE 30,-1,1.457,1.785,0.1318,900.1
SAE 30,0,1.322,1.789,0.1317,899.5
SAE 30,1,1.202,1.792,0.1316,898.8
SAE 30,2,1.094,1.796,0.1315,898.2
SAE 30,3,0.9977,1.799,0.1315,897.6
SAE 30,4,0.9111,1.803,0.1314,896.9
SAE 30,5,0.8333,1.807,0.1313,896.3
SAE 30,6,0.7633,1.81,0.1313,895.7
SAE 30,7,0.7001,1.814,0.1312,895.1
SAE 30,8,0.6431,1.817,0.1311,894.4
SAE 30,9,0.5916,1.821,0.131,893.8
SAE 30,10,0.5449,1.824,0.131,893.2
SAE 30,11,0.5026,1.828,0.1309,892.6
SAE 30,12,0.4642,1.832,0.1308,891.9
SAE 30,13,0.4292,1.835,0.1308,891.3
SAE 30,14,0.3974,1.839,0.1307,890.7
SAE 30,15,0.3684,1.842,0.1306,890.1
SAE 30,16,0.3419,1.846,0.1305,889.4
SAE 30,17,0.3177,1.85,0.1305,888.8
SAE 30,18,0.2956,1.853,0.1304,888.2
SAE 30,19,0.2753,1.857,0.1303,887.6
SAE 30,20,0.2567,1.86,0.1303,887
SAE 30,21,0.2396,1.864,0.1302,886.3
SAE 30,22,0.2239,1.868,0.1301,885.7
SAE 30,23,0.2094,1.871,0.13,885.1
SAE 30,24,0.1961,1.875,0.13,884.5
SAE 30,25,0.1838,1.878,0.1299,883.9
SAE 30,26,0.1725,1.882,0.1298,883.3
SAE 30,27,0.162,1.886,0.1298,882.6
SAE 30,28,0.1523,1.889,0.1297,882
SAE 30,29,0.1433,1.893,0.1296,881.4
SAE 30,30,0.1349,1.896,0.1296,880.8
SAE 30,31,0.1272,1.9,0.1295,880.2
SAE 30,32,0.12,1.904,0.1294,879.6
SAE 30,33,0.1133,1.907,0.1293,879
SAE 30,34,0.1071,1.911,0.1293,878.4
SAE 30,35,0.1013,1.914,0.1292,877.8
SAE 30,36,0.09586,1.918,0.1291,877.2
SAE 30,37,0.09082,1.922,0.1291,876.6
SAE 30,38,0.08611,1.925,0.129,876
SAE 30,39,0.0817,1.929,0.1289,875.4
SAE 30,40,0.07758,1.932,0.1288,874.7
SAE 30,41,0.07372,1.936,0.1288,874.1
SAE 30,42,0.07011,1.94,0.1287,873.5
SAE 30,43,0.06671,1.943,0.1286,872.9
SAE 30,44,0.06353,1.947,0.1286,872.3
SAE 30,45,0.06054,1.95,0.1285,871.7
SAE 30,46,0.05773,1.954,0.1284,871.1
SAE 30,47,0.05509,1.957,0.1283,870.5
SAE 30,48,0.0526,1.961,0.1283,869.9
SAE 30,49,0.05026,1.965,0.1282,869.4
SAE 30,50,0.04805,1.968,0.1281,868.8
SAE 30,51,0.04597,1.972,0.1281,868.2
SAE 30,52,0.044,1.975,0.128,867.6
SAE 30,53,0.04214,1.979,0.1279,867
SAE 30,54,0.04039,1.983,0.1278,866.4
SAE 30,55,0.03873,1.986,0.1278,865.8
SAE 30,56,0.03716,1.99,0.1277,865.2
SAE 30,57,0.03567,1.993,0.1276,864.6
SAE 30,58,0.03426,1.997,0.1276,864
SAE 30,59,0.03292,2.001,0.1275,863.4
SAE 30,60,0.03166,2.004,0.1274,862.8
SAE 30,61,0.03045,2.008,0.1273,862.3
SAE 30,62,0.02931,2.011,0.1273,861.7
SAE 30,63,0.02822,2.015,0.1272,861.1
SAE 30,64,0.02719,2.019,0.1271,860.5
SAE 30,65,0.02621,2.022,0.1271,859.9
SAE 30,66,0.02527,2.026,0.127,859.3
SAE 30,67,0.02438,2.029,0.1269,858.8
SAE 30,68,0.02353,2.033,0.1268,858.2
SAE 30,69,0.02273,2.037,0.1268,857.6
SAE 30,70,0.02195,2.04,0.1267,857
SAE 30,71,0.02122,2.044,0.1266,856.4
SAE 30,72,0.02052,2.047,0.1266,855.9
SAE 30,73,0.01984,2.051,0.1265,855.3
SAE 30,74,0.0192,2.055,0.1264,854.7
SAE 30,75,0.01859,2.058,0.1264,854.1
SAE 30,76,0.018,2.062,0.1263,853.5
SAE 30,77,0.01744,2.065,0.1262,853
SAE 30,78,0.0169,2.069,0.1261,852.4
SAE 30,79,0.01639,2.073,0.1261,851.8
SAE 30,80,0.0159,2.076,0.126,851.3
SAE 30,81,0.01542,2.08,0.1259,850.7
SAE 30,82,0.01497,2.083,0.1259,850.1
SAE 30,83,0.01453,2.087,0.1258,849.5
SAE 30,84,0.01412,2.091,0.1257,849
SAE 30,85,0.01372,2.094,0.1256,848.4
SAE 30,86,0.01333,2.098,0.1256,847.8
SAE 30,87,0.01296,2.101,0.1255,847.3
SAE 30,88,0.01261,2.105,0.1254,846.7
SAE 30,89,0.01226,2.108,0.1254,846.1
SAE 30,90,0.01193,2.112,0.1253,845.6
SAE 30,91,0.01162,2.116,0.1252,845
SAE 30,92,0.01131,2.119,0.1251,844.4
SAE 30,93,0.01102,2.123,0.1251,843.9
SAE 30,94,0.01074,2.126,0.125,843.3
SAE 30,95,0.01046,2.13,0.1249,842.8
SAE 30,96,0.0102,2.134,0.1249,842.2
SAE 30,97,0.009948,2.137,0.1248,841.6
SAE 30,98,0.009703,2.141,0.1247,841.1
SAE 30,99,0.009468,2.144,0.1246,840.5
SAE 30,100,0.00924,2.148,0.1246,840
SAE 30,101,0.00902,2.152,0.1245,839.4
SAE 30,102,0.008808,2.155,0.1244,838.9
SAE 30,103,0.008602,2.159,0.1244,838.3
SAE 30,104,0.008404,2.162,0.1243,837.8
SAE 30,105,0.008212,2.166,0.1242,837.2
SAE 30,106,0.008027,2.17,0.1241,836.7
SAE 30,107,0.007847,2.173,0.1241,836.1
SAE 30,108,0.007674,2.177,0.124,835.5
SAE 30,109,0.007506,2.18,0.1239,835
SAE 30,110,0.007343,2.184,0.1239,834.5
SAE 30,111,0.007186,2.188,0.1238,833.9
SAE 30,112,0.007033,2.191,0.1237,833.4
SAE 30,113,0.006885,2.195,0.1236,832.8
SAE 30,114,0.006742,2.198,0.1236,832.3
SAE 30,115,0.006603,2.202,0.1235,831.7
